,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319
0,0,27,27,90,169,1041,106,43,43,7,59,153,106,122,169,8,0,2169,2169,27,2248,3120,43,2185,2185,3,2201,2232,43,59,2248,7,0,4248,4248,2169,4327,5199,2185,4264,4264,1,4280,4311,2185,2201,4327,3,1,6327,6327,4311,6406,7278,4327,6343,6343,2,6359,6390,4327,4343,6406,3,1,8406,8406,6327,8485,9357,6343,8422,8422,5,8438,8501,6343,6359,8485,2,5,10485,10485,10548,10627,11499,10564,10501,10501,9,10517,10611,10564,10580,10627,10,10,12627,12627,12722,12769,13641,12706,12643,12643,11,12659,12785,12706,12690,12769,6,4,14801,14801,14864,4264,15720,14848,14785,14785,1,14769,4280,14848,14832,4264,0,4,16848,16848,14801,8422,17736,14785,16864,16864,5,16880,8438,14785,14769,8422,1,4,18864,18864,16848,10501,19752,16864,18880,18880,9,18896,10517,16864,16880,10501,5,5,10548,10548,8501,20896,21768,8485,10564,10564,10,10580,20912,8485,8469,20896,2,10,12722,12722,20912,22912,23784,20896,12706,12706,6,12690,22928,20896,20880,22912,2,6,12753,12753,24912,24991,25863,24928,12769,12769,11,12785,25007,24928,24944,24991,7,11,27023,27023,27086,27133,28005,27070,27007,27007,9,26991,27149,27070,27054,27133,8,9,18896,18896,27149,29149,30021,27133,18880,18880,4,18864,29133,27133,27117,29149,8,8,29165,29165,122,14848,31974,106,29149,29149,4,29133,14864,106,90,14848,0,11,27086,27086,25007,169,33927,24991,27070,27070,8,27054,185,24991,24975,169,7,6,24912,24912,35087,2248,35943,35071,24928,24928,7,24944,2264,35071,35055,2248,3,6,35087,35087,22928,6406,37896,22912,35071,35071,3,35055,6422,22912,22896,6406,2,11,12659,12659,27023,10627,39849,27007,12643,12643,10,12627,10643,27007,26991,10627,9
1,12,28,90,91,1057,1042,1041,231,44,59,153,154,107,185,170,122,2154,2170,27,28,3136,3121,3120,2310,2186,2201,2232,2233,44,2264,2249,59,4233,4249,2169,2170,5215,5200,5199,4389,4265,4280,4311,4312,2186,4343,4328,2201,6312,6328,4311,4312,7294,7279,7278,6468,6344,6359,6390,6391,4328,6422,6407,4343,8391,8407,6327,6328,9373,9358,9357,8547,8423,8438,8501,8500,6344,8469,8484,6359,10470,10486,10548,10549,11515,11500,11499,10689,10502,10517,10611,10612,10565,10643,10628,10580,12612,12628,12722,12721,13657,13642,13641,12831,12644,12659,12785,12784,12705,12753,12768,12690,14816,14800,14864,14863,15736,15721,15720,14910,14784,14769,4280,4279,14847,4248,4263,14832,16833,16849,14801,14800,17752,17737,17736,16926,16865,16880,8438,8437,14784,8406,8421,14769,18849,18865,16848,16849,19768,19753,19752,18942,18881,18896,10517,10516,16865,10485,10500,16880,10533,10549,8501,8500,21784,21769,21768,20958,10565,10580,20912,20911,8484,20880,20895,8469,12737,12721,20912,20911,23800,23785,23784,22974,12705,12690,22928,22927,20895,22896,22911,20880,12738,12754,24912,24913,25879,25864,25863,25053,12770,12785,25007,25006,24929,24975,24990,24944,27038,27022,27086,27085,28021,28006,28005,27195,27006,26991,27149,27148,27069,27117,27132,27054,18911,18895,27149,27148,30037,30022,30021,29211,18879,18864,29133,29134,27132,29165,29150,27117,29180,29164,122,121,31990,31975,31974,31164,29148,29133,14864,14863,105,14832,14847,90,27101,27085,25007,25006,33943,33928,33927,33117,27069,27054,185,184,24990,153,168,24975,24897,24913,35087,35086,35959,35944,35943,35133,24929,24944,2264,2263,35070,2232,2247,35055,35102,35086,22928,22927,37912,37897,37896,37086,35070,35055,6422,6421,22911,6390,6405,22896,12674,12658,27023,27022,39865,39850,39849,39039,12642,12627,10643,10642,27006,10611,10626,26991
2,13,29,215,92,1103,1043,1087,232,45,60,247,155,108,1673,171,123,2155,2171,2294,29,3182,3122,3166,2311,2187,2202,2326,2234,45,3752,2250,60,4234,4250,4373,2171,5261,5201,5245,4390,4266,4281,4405,4313,2187,5831,4329,2202,6313,6329,6452,4313,7340,7280,7324,6469,6345,6360,6484,6392,4329,7910,6408,4344,8392,8408,8531,6329,9419,9359,9403,8548,8424,8439,8563,8499,6345,9989,8483,6360,10471,10487,10673,10550,11561,11501,11545,10690,10503,10518,10705,10613,10566,12131,10629,10581,12613,12629,12815,12720,13703,13643,13687,12832,12645,12660,12847,12783,12704,14273,12767,12689,14815,14799,14894,14862,15782,15722,15766,14911,14783,14768,14926,4278,14846,16352,4262,14831,16834,16850,16910,14799,17798,17738,17782,16927,16866,16881,16942,8436,14783,18368,8420,14768,18850,18866,18926,16850,19814,19754,19798,18943,18882,18897,18958,10515,16866,20384,10499,16881,10534,10550,20942,8499,21830,21770,21814,20959,10566,10581,20974,20910,8483,22400,20894,8468,12736,12720,22958,20910,23846,23786,23830,22975,12704,12689,22990,22926,20894,24416,22910,20879,12739,12755,25037,24914,25925,25865,25909,25054,12771,12786,25069,25005,24930,26495,24989,24945,27037,27021,27179,27084,28067,28007,28051,27196,27005,26990,27211,27147,27068,28637,27131,27053,18910,18894,29195,27147,30083,30023,30067,29212,18878,18863,29227,29135,27131,30653,29151,27116,29179,29163,31148,120,32036,31976,32020,31165,29147,29132,31180,14862,104,32606,14846,89,27100,27084,33101,25005,33989,33929,33973,33118,27068,27053,33133,183,24989,34559,167,24974,24898,24914,35117,35085,36005,35945,35989,35134,24930,24945,35149,2262,35069,36575,2246,35054,35101,35085,37070,22926,37958,37898,37942,37087,35069,35054,37102,6420,22910,38528,6404,22895,12673,12657,39023,27021,39911,39851,39895,39040,12641,12626,39055,10641,27005,40481,10625,26990
3,14,30,216,93,1104,1044,1088,292,46,61,248,156,109,1703,172,124,2156,2172,2295,30,3183,3123,3167,2371,2188,2203,2327,2235,46,3782,2251,61,4235,4251,4374,2172,5262,5202,5246,4450,4267,4282,4406,4314,2188,5861,4330,2203,6314,6330,6453,4314,7341,7281,7325,6529,6346,6361,6485,6393,4330,7940,6409,4345,8393,8409,8532,6330,9420,9360,9404,8608,8425,8440,8564,8498,6346,10019,8482,6361,10472,10488,10674,10551,11562,11502,11546,10750,10504,10519,10706,10614,10567,12161,10630,10582,12614,12630,12816,12719,13704,13644,13688,12892,12646,12661,12848,12782,12703,14303,12766,12688,14814,14798,14895,14861,15783,15723,15767,14971,14782,14767,14927,4277,14845,16382,4261,14830,16835,16851,16911,14798,17799,17739,17783,16987,16867,16882,16943,8435,14782,18398,8419,14767,18851,18867,18927,16851,19815,19755,19799,19003,18883,18898,18959,10514,16867,20414,10498,16882,10535,10551,20943,8498,21831,21771,21815,21019,10567,10582,20975,20909,8482,22430,20893,8467,12735,12719,22959,20909,23847,23787,23831,23035,12703,12688,22991,22925,20893,24446,22909,20878,12740,12756,25038,24915,25926,25866,25910,25114,12772,12787,25070,25004,24931,26525,24988,24946,27036,27020,27180,27083,28068,28008,28052,27256,27004,26989,27212,27146,27067,28667,27130,27052,18909,18893,29196,27146,30084,30024,30068,29272,18877,18862,29228,29136,27130,30683,29152,27115,29178,29162,31149,119,32037,31977,32021,31225,29146,29131,31181,14861,103,32636,14845,88,27099,27083,33102,25004,33990,33930,33974,33178,27067,27052,33134,182,24988,34589,166,24973,24899,24915,35118,35084,36006,35946,35990,35194,24931,24946,35150,2261,35068,36605,2245,35053,35100,35084,37071,22925,37959,37899,37943,37147,35068,35053,37103,6419,22909,38558,6403,22894,12672,12656,39024,27020,39912,39852,39896,39100,12640,12625,39056,10640,27004,40511,10624,26989
4,15,31,276,94,1148,1045,1132,293,47,62,308,157,110,1704,173,125,2157,2173,2355,31,3227,3124,3211,2372,2189,2204,2387,2236,47,3783,2252,62,4236,4252,4434,2173,5306,5203,5290,4451,4268,4283,4466,4315,2189,5862,4331,2204,6315,6331,6513,4315,7385,7282,7369,6530,6347,6362,6545,6394,4331,7941,6410,4346,8394,8410,8592,6331,9464,9361,9448,8609,8426,8441,8624,8497,6347,10020,8481,6362,10473,10489,10734,10552,11606,11503,11590,10751,10505,10520,10766,10615,10568,12162,10631,10583,12615,12631,12876,12718,13748,13645,13732,12893,12647,12662,12908,12781,12702,14304,12765,12687,14813,14797,14955,14860,15827,15724,15811,14972,14781,14766,14987,4276,14844,16383,4260,14829,16836,16852,16971,14797,17843,17740,17827,16988,16868,16883,17003,8434,14781,18399,8418,14766,18852,18868,18987,16852,19859,19756,19843,19004,18884,18899,19019,10513,16868,20415,10497,16883,10536,10552,21003,8497,21875,21772,21859,21020,10568,10583,21035,20908,8481,22431,20892,8466,12734,12718,23019,20908,23891,23788,23875,23036,12702,12687,23051,22924,20892,24447,22908,20877,12741,12757,25098,24916,25970,25867,25954,25115,12773,12788,25130,25003,24932,26526,24987,24947,27035,27019,27240,27082,28112,28009,28096,27257,27003,26988,27272,27145,27066,28668,27129,27051,18908,18892,29256,27145,30128,30025,30112,29273,18876,18861,29288,29137,27129,30684,29153,27114,29177,29161,31209,118,32081,31978,32065,31226,29145,29130,31241,14860,102,32637,14844,87,27098,27082,33162,25003,34034,33931,34018,33179,27066,27051,33194,181,24987,34590,165,24972,24900,24916,35178,35083,36050,35947,36034,35195,24932,24947,35210,2260,35067,36606,2244,35052,35099,35083,37131,22924,38003,37900,37987,37148,35067,35052,37163,6418,22908,38559,6402,22893,12671,12655,39084,27019,39956,39853,39940,39101,12639,12624,39116,10639,27003,40512,10623,26988
5,16,32,277,95,1149,1046,1133,294,48,63,309,158,111,1732,174,126,2158,2174,2356,32,3228,3125,3212,2373,2190,2205,2388,2237,48,3811,2253,63,4237,4253,4435,2174,5307,5204,5291,4452,4269,4284,4467,4316,2190,5890,4332,2205,6316,6332,6514,4316,7386,7283,7370,6531,6348,6363,6546,6395,4332,7969,6411,4347,8395,8411,8593,6332,9465,9362,9449,8610,8427,8442,8625,8496,6348,10048,8480,6363,10474,10490,10735,10553,11607,11504,11591,10752,10506,10521,10767,10616,10569,12190,10632,10584,12616,12632,12877,12717,13749,13646,13733,12894,12648,12663,12909,12780,12701,14332,12764,12686,14812,14796,14956,14859,15828,15725,15812,14973,14780,14765,14988,4275,14843,16411,4259,14828,16837,16853,16972,14796,17844,17741,17828,16989,16869,16884,17004,8433,14780,18427,8417,14765,18853,18869,18988,16853,19860,19757,19844,19005,18885,18900,19020,10512,16869,20443,10496,16884,10537,10553,21004,8496,21876,21773,21860,21021,10569,10584,21036,20907,8480,22459,20891,8465,12733,12717,23020,20907,23892,23789,23876,23037,12701,12686,23052,22923,20891,24475,22907,20876,12742,12758,25099,24917,25971,25868,25955,25116,12774,12789,25131,25002,24933,26554,24986,24948,27034,27018,27241,27081,28113,28010,28097,27258,27002,26987,27273,27144,27065,28696,27128,27050,18907,18891,29257,27144,30129,30026,30113,29274,18875,18860,29289,29138,27128,30712,29154,27113,29176,29160,31210,117,32082,31979,32066,31227,29144,29129,31242,14859,101,32665,14843,86,27097,27081,33163,25002,34035,33932,34019,33180,27065,27050,33195,180,24986,34618,164,24971,24901,24917,35179,35082,36051,35948,36035,35196,24933,24948,35211,2259,35066,36634,2243,35051,35098,35082,37132,22923,38004,37901,37988,37149,35066,35051,37164,6417,22907,38587,6401,22892,12670,12654,39085,27018,39957,39854,39941,39102,12638,12623,39117,10638,27002,40540,10622,26987
6,17,33,278,96,1150,1047,1134,352,49,64,310,159,112,1733,175,127,2159,2175,2357,33,3229,3126,3213,2431,2191,2206,2389,2238,49,3812,2254,64,4238,4254,4436,2175,5308,5205,5292,4510,4270,4285,4468,4317,2191,5891,4333,2206,6317,6333,6515,4317,7387,7284,7371,6589,6349,6364,6547,6396,4333,7970,6412,4348,8396,8412,8594,6333,9466,9363,9450,8668,8428,8443,8626,8495,6349,10049,8479,6364,10475,10491,10736,10554,11608,11505,11592,10810,10507,10522,10768,10617,10570,12191,10633,10585,12617,12633,12878,12716,13750,13647,13734,12952,12649,12664,12910,12779,12700,14333,12763,12685,14811,14795,14957,14858,15829,15726,15813,15031,14779,14764,14989,4274,14842,16412,4258,14827,16838,16854,16973,14795,17845,17742,17829,17047,16870,16885,17005,8432,14779,18428,8416,14764,18854,18870,18989,16854,19861,19758,19845,19063,18886,18901,19021,10511,16870,20444,10495,16885,10538,10554,21005,8495,21877,21774,21861,21079,10570,10585,21037,20906,8479,22460,20890,8464,12732,12716,23021,20906,23893,23790,23877,23095,12700,12685,23053,22922,20890,24476,22906,20875,12743,12759,25100,24918,25972,25869,25956,25174,12775,12790,25132,25001,24934,26555,24985,24949,27033,27017,27242,27080,28114,28011,28098,27316,27001,26986,27274,27143,27064,28697,27127,27049,18906,18890,29258,27143,30130,30027,30114,29332,18874,18859,29290,29139,27127,30713,29155,27112,29175,29159,31211,116,32083,31980,32067,31285,29143,29128,31243,14858,100,32666,14842,85,27096,27080,33164,25001,34036,33933,34020,33238,27064,27049,33196,179,24985,34619,163,24970,24902,24918,35180,35081,36052,35949,36036,35254,24934,24949,35212,2258,35065,36635,2242,35050,35097,35081,37133,22922,38005,37902,37989,37207,35065,35050,37165,6416,22906,38588,6400,22891,12669,12653,39086,27017,39958,39855,39942,39160,12637,12622,39118,10637,27001,40541,10621,26986
7,18,34,336,97,1192,1048,1176,353,50,65,368,160,113,1734,176,128,2160,2176,2415,34,3271,3127,3255,2432,2192,2207,2447,2239,50,3813,2255,65,4239,4255,4494,2176,5350,5206,5334,4511,4271,4286,4526,4318,2192,5892,4334,2207,6318,6334,6573,4318,7429,7285,7413,6590,6350,6365,6605,6397,4334,7971,6413,4349,8397,8413,8652,6334,9508,9364,9492,8669,8429,8444,8684,8494,6350,10050,8478,6365,10476,10492,10794,10555,11650,11506,11634,10811,10508,10523,10826,10618,10571,12192,10634,10586,12618,12634,12936,12715,13792,13648,13776,12953,12650,12665,12968,12778,12699,14334,12762,12684,14810,14794,15015,14857,15871,15727,15855,15032,14778,14763,15047,4273,14841,16413,4257,14826,16839,16855,17031,14794,17887,17743,17871,17048,16871,16886,17063,8431,14778,18429,8415,14763,18855,18871,19047,16855,19903,19759,19887,19064,18887,18902,19079,10510,16871,20445,10494,16886,10539,10555,21063,8494,21919,21775,21903,21080,10571,10586,21095,20905,8478,22461,20889,8463,12731,12715,23079,20905,23935,23791,23919,23096,12699,12684,23111,22921,20889,24477,22905,20874,12744,12760,25158,24919,26014,25870,25998,25175,12776,12791,25190,25000,24935,26556,24984,24950,27032,27016,27300,27079,28156,28012,28140,27317,27000,26985,27332,27142,27063,28698,27126,27048,18905,18889,29316,27142,30172,30028,30156,29333,18873,18858,29348,29140,27126,30714,29156,27111,29174,29158,31269,115,32125,31981,32109,31286,29142,29127,31301,14857,99,32667,14841,84,27095,27079,33222,25000,34078,33934,34062,33239,27063,27048,33254,178,24984,34620,162,24969,24903,24919,35238,35080,36094,35950,36078,35255,24935,24950,35270,2257,35064,36636,2241,35049,35096,35080,37191,22921,38047,37903,38031,37208,35064,35049,37223,6415,22905,38589,6399,22890,12668,12652,39144,27016,40000,39856,39984,39161,12636,12621,39176,10636,27000,40542,10620,26985
8,19,35,337,98,1193,1049,1177,354,51,66,369,161,114,1760,177,129,2161,2177,2416,35,3272,3128,3256,2433,2193,2208,2448,2240,51,3839,2256,66,4240,4256,4495,2177,5351,5207,5335,4512,4272,4287,4527,4319,2193,5918,4335,2208,6319,6335,6574,4319,7430,7286,7414,6591,6351,6366,6606,6398,4335,7997,6414,4350,8398,8414,8653,6335,9509,9365,9493,8670,8430,8445,8685,8493,6351,10076,8477,6366,10477,10493,10795,10556,11651,11507,11635,10812,10509,10524,10827,10619,10572,12218,10635,10587,12619,12635,12937,12714,13793,13649,13777,12954,12651,12666,12969,12777,12698,14360,12761,12683,14809,14793,15016,14856,15872,15728,15856,15033,14777,14762,15048,4272,14840,16439,4256,14825,16840,16856,17032,14793,17888,17744,17872,17049,16872,16887,17064,8430,14777,18455,8414,14762,18856,18872,19048,16856,19904,19760,19888,19065,18888,18903,19080,10509,16872,20471,10493,16887,10540,10556,21064,8493,21920,21776,21904,21081,10572,10587,21096,20904,8477,22487,20888,8462,12730,12714,23080,20904,23936,23792,23920,23097,12698,12683,23112,22920,20888,24503,22904,20873,12745,12761,25159,24920,26015,25871,25999,25176,12777,12792,25191,24999,24936,26582,24983,24951,27031,27015,27301,27078,28157,28013,28141,27318,26999,26984,27333,27141,27062,28724,27125,27047,18904,18888,29317,27141,30173,30029,30157,29334,18872,18857,29349,29141,27125,30740,29157,27110,29173,29157,31270,114,32126,31982,32110,31287,29141,29126,31302,14856,98,32693,14840,83,27094,27078,33223,24999,34079,33935,34063,33240,27062,27047,33255,177,24983,34646,161,24968,24904,24920,35239,35079,36095,35951,36079,35256,24936,24951,35271,2256,35063,36662,2240,35048,35095,35079,37192,22920,38048,37904,38032,37209,35063,35048,37224,6414,22904,38615,6398,22889,12667,12651,39145,27015,40001,39857,39985,39162,12635,12620,39177,10635,26999,40568,10619,26984
9,20,36,338,99,1194,1050,1178,355,52,67,370,162,115,1761,178,130,2162,2178,2417,36,3273,3129,3257,2434,2194,2209,2449,2241,52,3840,2257,67,4241,4257,4496,2178,5352,5208,5336,4513,4273,4288,4528,4320,2194,5919,4336,2209,6320,6336,6575,4320,7431,7287,7415,6592,6352,6367,6607,6399,4336,7998,6415,4351,8399,8415,8654,6336,9510,9366,9494,8671,8431,8446,8686,8492,6352,10077,8476,6367,10478,10494,10796,10557,11652,11508,11636,10813,10510,10525,10828,10620,10573,12219,10636,10588,12620,12636,12938,12713,13794,13650,13778,12955,12652,12667,12970,12776,12697,14361,12760,12682,14808,14792,15017,14855,15873,15729,15857,15034,14776,14761,15049,4271,14839,16440,4255,14824,16841,16857,17033,14792,17889,17745,17873,17050,16873,16888,17065,8429,14776,18456,8413,14761,18857,18873,19049,16857,19905,19761,19889,19066,18889,18904,19081,10508,16873,20472,10492,16888,10541,10557,21065,8492,21921,21777,21905,21082,10573,10588,21097,20903,8476,22488,20887,8461,12729,12713,23081,20903,23937,23793,23921,23098,12697,12682,23113,22919,20887,24504,22903,20872,12746,12762,25160,24921,26016,25872,26000,25177,12778,12793,25192,24998,24937,26583,24982,24952,27030,27014,27302,27077,28158,28014,28142,27319,26998,26983,27334,27140,27061,28725,27124,27046,18903,18887,29318,27140,30174,30030,30158,29335,18871,18856,29350,29142,27124,30741,29158,27109,29172,29156,31271,113,32127,31983,32111,31288,29140,29125,31303,14855,97,32694,14839,82,27093,27077,33224,24998,34080,33936,34064,33241,27061,27046,33256,176,24982,34647,160,24967,24905,24921,35240,35078,36096,35952,36080,35257,24937,24952,35272,2255,35062,36663,2239,35047,35094,35078,37193,22919,38049,37905,38033,37210,35062,35047,37225,6413,22903,38616,6397,22888,12666,12650,39146,27014,40002,39858,39986,39163,12634,12619,39178,10634,26998,40569,10618,26983
