0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
7,4,8,10242,12288,4,7,14,11,5,14336,17,6,4096,10,17,3,0,4,22,5,0,3,18432,1,2,20480,27,21981,22528,1,29,11,6144,0,32,1,24576,11,24576,26624,9,10,37,10,9,28672,27516,0,8,30122,12,5,2048,0,30720,32768,4,9,2058,10,34816,3,20,1,7,11398,13,11,6,1,36864,9,7,38912,38266,28673,10240,10,21
13,12,12,10243,12289,14,14,15,18,17,14337,18,14346,16384,20,20,23,22,17506,23,25,18451,24,18433,28,27,20481,28,6,22529,22391,30,33,6145,32,33,24577,8,34,24577,26625,6925,37,38,37,28682,28673,27517,22,12,4,22,19,2049,26,30721,32769,16,16,2059,20,34817,25,25,35576,13,8,35010,18,18,36870,36865,15,15,38913,15,2,40960,21,31
14,14,13,10244,12290,16,15,16,19,19,14338,19,14347,16385,21,21,24,24,17507,24,26,18452,25,18434,29,29,20482,29,30,22530,29,31,34,6146,33,34,35,6156,35,24578,26626,6926,38,39,41,28683,28674,37,32,6161,30123,32,30740,2050,33,30722,32770,23,2077,2060,38,34818,38,38,28,28,11399,35011,35,36892,36871,36866,40,27,38914,38267,28674,10241,41,41
43,44,42,10245,12291,50,45,51,59,60,14339,58,17,4099,67,967,75,76,22,4162,18506,18456,18470,18435,91,92,20483,90,31,22531,30,21331,107,6147,106,106,36,6157,24623,24579,3,6927,26722,122,128,28684,2,40,81,6162,7571,138,30741,2051,30799,30723,3,2072,2080,2061,72,34819,26667,2142,36,46,13,35012,36906,36893,36878,36867,55,56,38915,27,28679,40961,40309,159
45,49,47,10246,12292,53,51,52,61,65,14340,59,14354,4100,71,67,77,81,23,4163,18507,18457,18471,18436,93,97,20484,91,100,22532,22395,21332,109,6148,111,107,24642,6166,24624,24580,26627,37,26723,123,132,28685,28675,41,112,6167,30124,139,26,2052,30800,30724,32771,2071,32802,2062,2154,34820,26668,2143,35577,36240,36,28,36907,30,36879,36868,12402,2460,38916,38271,28680,10177,71,160
46,50,48,10247,12293,57,56,53,62,66,14341,60,14355,5,72,68,78,82,17508,4164,18508,26,18478,18437,94,98,20485,92,22001,22533,93,99,110,6149,112,108,24643,6169,24628,24581,26628,39,26724,124,134,28686,28676,27518,139,6168,12,140,30750,2053,30804,30725,32772,2084,32803,2063,2157,34821,26672,2144,35578,95,11406,35013,36908,36902,30,36869,12403,2461,38917,40,31,40704,28112,161
10395,165,168,10248,12294,828,175,192,222,14671,6,218,21,4101,254,69,4204,4209,17509,4165,18509,24,18479,18438,334,333,20486,1267,102,22534,99,100,390,6150,392,22786,6212,34,24629,24582,26629,6928,26725,445,26890,28687,28678,27519,301,32,30125,29058,30753,30726,30805,30726,32774,2087,32804,16,2162,34822,26673,2145,94,152,47,36,36909,36905,36897,36870,12410,96,38918,156,41,6,134,39536
10396,170,169,10249,12295,829,176,193,223,14672,14343,219,14371,4103,255,981,4205,4210,17510,4166,18510,18492,19144,18439,335,338,7,1278,103,22535,104,101,391,6151,393,22787,6213,36,24664,24583,26630,6929,26726,446,26891,28688,28679,27520,302,48,30126,29059,66,30727,89,30727,32775,57,2085,2065,2163,34823,26708,2146,35579,174,11407,35014,36910,63,36898,36871,12411,2462,38919,157,22578,10176,159,39537
10400,10414,178,10250,12296,830,198,194,227,14673,14344,220,14372,4104,262,982,4214,4215,17511,4167,18511,18493,18497,18440,339,353,20487,1279,22002,22536,22034,21335,395,8,402,22788,421,6217,24665,24584,26631,6930,26727,6612,26898,28689,28677,131,405,113,22,29060,86,2055,111,30728,32776,2124,2086,2066,2172,34824,26709,2147,118,177,121,150,36911,14423,35,36872,137,2466,38920,158,22579,40708,266,39538
10401,10415,179,10251,9,834,199,195,228,14579,14345,221,14376,4105,263,983,4217,4216,17512,4168,18512,18502,18498,18441,340,354,20488,1280,22003,22537,22035,21336,396,6153,403,22789,24650,6218,6238,24585,26632,6931,26728,6604,26899,28690,28680,132,408,140,30127,29061,30818,2056,30840,30729,32777,2125,39,2064,2173,34825,88,2148,35580,2239,11425,151,36912,14424,36903,36873,12427,2467,38921,38295,22586,10180,267,39539
166,10422,180,12,12297,13046,208,196,229,14580,14346,222,14377,4106,264,985,4235,4256,17513,4169,18513,18505,18503,18442,341,355,20489,1281,22004,22538,22036,21337,397,6154,404,22790,24651,6223,6239,24586,26634,6932,26729,1682,26915,28691,28681,133,4534,181,30128,29062,30819,2057,30841,30730,32773,2126,32805,2067,2174,34826,26718,2149,35581,2240,11426,152,36913,14428,36904,36874,12428,20618,38922,38296,22587,21,2529,39540
167,10423,181,13,12298,835,209,197,230,221,14347,223,64,4107,265,248,4236,4257,74,74,18514,82,18504,18443,342,356,20490,1286,22014,22539,22037,360,398,6155,405,22791,6222,6224,24674,24587,26635,6933,26730,1683,26916,28692,40,27521,4535,184,30129,29063,30826,11,30850,30731,32778,79,32806,2068,127,34827,26721,2150,151,2252,150,2226,36914,14429,104,36875,12432,20619,38923,38301,22603,10181,2497,39546
171,185,182,14,12299,13047,210,198,231,226,14348,224,68,4108,266,249,4241,4266,79,75,18515,85,77,18444,343,357,20492,330,22015,22540,22038,361,399,6156,406,22792,6225,114,24677,24588,26636,6934,26731,6605,26920,28693,41,27522,4542,7661,30130,29064,30827,2054,30853,30732,32779,2128,32807,2069,2175,34828,2161,2151,35447,2255,11431,2227,36915,37876,119,36876,12433,20626,38924,38302,22604,10182,2500,2478
172,186,183,10254,12300,13048,211,199,232,14581,14349,225,70,4109,267,250,4242,4269,80,76,84,89,83,18445,344,358,20493,331,21827,22541,22039,362,400,6157,407,22793,24669,117,6248,24589,26637,6935,26732,1684,26921,28694,131,27523,4543,30456,30131,29065,30845,19,141,30733,32781,2129,32808,2070,2176,34829,2164,2152,35582,20695,11432,2228,36916,103,37476,36877,157,20627,38925,38303,22608,40705,2505,2479
173,187,184,10252,12302,840,212,200,233,14570,14350,226,14515,4102,268,251,4270,277,4230,4170,18516,300,88,18446,345,359,20491,332,21828,22542,22040,363,401,6152,408,22794,24670,6264,6251,24590,26633,6936,26733,1686,27059,28695,135,27524,4561,7662,49,29066,30846,30745,30918,30734,32780,2127,32809,2071,2178,34830,2169,2153,2238,20696,182,2229,36917,37877,153,36878,204,2473,38926,38311,22609,31,2506,2480
