0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319
10754,10755,10758,10752,14,11776,12,44,11264,12,8,42,12,13,2574,10242,12288,12302,12289,12288,13128,13312,3074,13026,15,12800,7,45,3072,15,16,11826,13833,13536,13828,13824,19,5,14848,60,3589,14336,3584,3584,17,18,13535,58,6,14346,21,15370,14852,4096,16384,4096,1024,15872,1029,15774,15360,21,17,15061,3,24,17100,16922,24,0,17920,4479,17413,17422,17408,17408,16896,23,24,4175,5,4612,25,18522,19456,0,19474,82,18966,19030,18945,18944,18432,4626,4608,83,1,5122,5120,20058,20992,2,27,92,28,20576,7,20480,19968,28,19844,90,22016,5497,21506,5501,22528,2,5723,5670,5632,5134,1,22034,29,21504,21350,5394,23552,34,23058,107,24086,6144,24077,24064,23040,1539,0,1536,32,23040,34,106,25088,24577,35,1612,24576,25600,25614,25600,35,25340,23558,1638,24729,24578,24576,6170,26624,26116,6682,6670,26121,27477,6656,27136,6822,6661,10,1738,6656,26155,26112,26025,7168,28160,41,27940,28801,9,40,28682,7189,7182,28672,7170,40,27786,27648,131,0,29696,22,29515,7680,515,513,30208,22,12,512,512,12,22,29184,138,31232,520,521,525,2049,2048,2052,2048,522,31445,0,528,518,30835,30720,516,32768,8245,8202,8192,33280,4,33379,549,540,32973,9,32870,2061,32256,2062,2058,1032,20,33794,561,34816,5,25,8718,33816,25,8704,34304,25,33792,20,33540,1,5120,8956,35441,28,7,36352,46,35846,35851,8,35840,35328,36,28,570,11,9217,9301,36944,9216,22020,37888,63,9230,37376,1,600,36864,9218,9216,588,9,15,38436,38400,39282,39424,27,56,9733,38912,9728,9728,27,38266,15,606,39936,39950,39937,39936,31,2560,21,70,40448,1027,7168,10075,21,41,9912,39492
10757,10756,10759,10753,44,11777,44,49,11265,11174,47,47,2575,2581,14,2563,9,12303,15,12289,16,11776,3077,13027,12818,12801,12926,51,3073,12059,52,51,13834,13537,13829,13825,60,14862,14849,65,3592,3585,6,3585,58,3420,19,59,15678,14347,15412,15371,14853,16486,16385,4097,1025,15361,1030,15775,15361,67,15070,15063,1091,1070,23,16923,17815,18022,17921,4480,17414,17423,17409,17409,16897,1064,1062,1058,4691,4613,4643,4706,19457,82,18451,85,18967,18950,18946,18945,18433,4627,4609,84,5144,5123,5121,91,20993,5296,21071,97,20518,20492,20497,20481,19969,90,19845,91,22017,5500,21507,5502,22529,5683,21010,5671,5633,5135,5648,22035,21542,21505,31,5395,23553,107,23059,109,24087,6145,24078,24065,1536,1540,1538,1537,108,23041,22917,107,1,24529,1602,1613,25601,8,25615,25601,24623,25342,23559,115,34,24579,24577,6171,26625,26117,6685,6671,26122,9,6657,27137,6823,6662,27088,26722,6657,26130,26113,122,7169,28161,28101,128,27678,28729,28750,28683,7192,7185,28673,7171,131,27787,27649,132,1552,29697,17951,29516,7681,8,7686,513,17482,49,4,1943,29415,29266,29185,139,31233,525,526,526,2050,2055,2053,31744,19467,31446,1553,529,523,516,30721,517,32769,8209,8205,8193,33281,13331,16,550,2077,32974,548,32871,16,32257,2063,2059,10,15914,33795,562,34817,8731,34842,8719,33817,34332,8705,34305,33830,33793,553,8447,5156,5121,8957,579,573,36439,36353,36238,35847,35852,36128,35841,35329,570,571,571,62,18,9235,36960,18,22021,37889,603,9231,37377,25115,601,36865,9219,9217,589,38441,3123,38437,38401,39283,39425,9817,9798,9736,9729,2,9729,608,38267,9573,607,28673,39951,39955,39937,102,10240,70,102,40449,1028,7169,40299,39521,624,39590,39474
7,10890,10760,10754,11610,11778,49,50,11266,42,48,48,2576,2584,2577,10243,3091,16,3090,12290,13133,13313,14,50,12819,12802,12927,56,3074,51,53,52,11,14047,13838,13826,66,14863,14850,66,3597,14338,3596,3586,60,58,59,60,15679,17,15413,15372,4100,4099,16386,4098,1026,15874,1031,3972,15362,68,15071,3770,1096,1073,17101,16924,17816,18023,17922,4481,17419,17424,4,17410,16898,1065,1063,1059,4692,4622,4644,18523,19458,89,18452,89,25,19031,3,18946,18434,4628,4610,85,5145,5124,20253,20059,20994,5299,20054,98,20519,20493,20498,20482,19970,91,19846,92,22018,31,21514,5503,22530,5684,21011,5672,5634,5142,5649,22036,21543,21506,21351,5396,23554,109,23066,110,1560,6146,24083,24066,1537,1541,1549,1538,23094,23042,107,108,25089,36,24642,1614,25619,6156,25624,25602,24624,6414,11,1643,6183,24580,6208,6172,26626,26126,6690,6672,26127,27478,27376,27138,6824,6667,27090,26723,6658,26131,26114,123,10,28162,28102,132,27679,28730,28751,28684,7197,7190,28674,7172,133,41,27650,133,1555,29698,17952,29517,7682,6161,7687,514,17483,11685,11790,49,29416,29267,29186,140,31234,19,26,527,2051,2056,2054,31745,19468,31447,530,530,524,30836,30722,518,32770,8212,8210,8194,33282,13332,542,551,32287,16,33082,32876,2066,32258,32160,2060,1035,15915,33802,563,34818,8732,34843,8720,33826,34333,8706,34306,33831,33794,555,33532,5157,35619,36,580,586,46,36354,585,35856,13,35872,35842,35330,575,573,572,9283,2346,9236,36906,3634,6,37890,604,9240,37378,25116,602,36866,9220,36635,590,38442,3124,38576,38402,15,39426,9820,9799,9741,38914,28678,9730,613,38271,607,608,2,40099,39956,39938,627,2561,632,40627,40450,21,1033,10076,39522,629,39591,39475
10993,10891,10761,10755,2609,11779,2656,728,11267,48,11334,178,2588,2589,2582,2565,3092,12312,12307,12291,13134,13315,12220,53,12820,3075,45,3178,3075,52,12023,53,13839,19,13841,13827,3682,14864,14851,3670,3598,14339,3599,3587,13425,59,60,13378,15417,14354,15422,15373,4103,5,16387,4099,1027,15875,1032,15753,15363,15195,15072,3771,16969,1094,17104,16925,17817,17998,17923,4482,17420,16913,17418,17411,16899,1074,1067,1060,86,4625,4649,18524,19459,19558,19475,1244,4638,18953,19192,18947,18435,4629,4611,1166,5146,5125,20254,93,20995,97,20003,5270,20528,20502,20503,20483,19971,19929,19847,1268,22019,21886,21515,100,22531,5696,21018,5673,5635,5143,5650,22037,21544,21507,21352,5397,23555,23433,23067,23194,1561,6147,24084,24067,23044,1542,1550,23586,23095,23043,108,5762,25090,25045,24643,1615,25620,6157,25627,25603,24628,25343,23577,1644,6184,24581,36,6173,3,26129,6691,6673,26128,27161,6666,27139,38,6668,27091,26724,6659,26132,26115,124,28198,28163,28103,134,28806,28735,27900,28685,7198,7191,2,7173,27814,27714,27651,1790,29742,29699,17956,29518,7683,6162,7688,515,80,29942,11791,1944,29417,29268,29187,7362,31235,30740,86,66,31747,2057,31752,31746,19472,523,1554,31314,33,521,30723,7722,3,2070,8211,8195,33283,13336,2084,57,2080,32975,33083,546,536,32259,2067,2061,563,34201,33803,72,34819,1056,34925,8721,34505,34342,8707,34307,33832,33795,556,8450,5166,35620,575,581,36246,36414,36355,586,35859,35857,35873,35843,35331,576,574,8802,9284,2352,9241,36907,3635,22030,37891,605,9243,37379,5663,104,36867,9221,18,36498,38447,55,40,38403,39284,39427,5215,9800,9742,38915,28681,9731,614,40,609,37986,28674,39960,39961,39939,640,40960,639,639,40451,40410,1034,40300,39527,630,39592,39476
45,14,10762,10756,50,4,2657,2872,11268,11175,11335,179,2591,2590,2583,2566,3104,3097,12308,12292,13135,13316,12221,214,12821,12804,3266,3179,3076,11894,12024,11827,13840,13854,18,13828,3685,14865,14852,3671,18,14340,3644,3588,13426,13656,222,13379,15418,14355,15425,15374,4104,16487,16388,1036,1028,15362,1033,15754,15364,15030,15073,3772,16970,1095,17105,16926,1071,17999,17924,4483,23,16914,17421,17412,16900,1075,1068,1061,87,26,4650,18529,19460,19559,19476,1245,4639,24,18951,18948,18436,4630,4612,1167,5147,5126,28,94,20996,98,20004,5271,20531,20561,20504,20484,19972,19867,19848,1269,22020,21887,21533,102,22532,5699,21019,5674,5636,29,5651,22038,21545,21508,5408,5398,23556,5804,23309,23195,6111,6148,1562,24068,23045,1543,1551,23587,23096,23044,22918,5763,25092,1594,1603,1616,25625,6166,1568,25604,24629,6415,23578,25170,1585,24582,6182,6174,26627,6689,38,6674,27156,27162,6922,27140,26175,37,127,26725,6660,26133,26116,1682,28199,28164,28104,27932,37,28736,28760,28686,41,7200,28675,7174,27815,27715,27652,1791,29743,29700,17957,29519,7684,6167,7689,30212,17490,29943,7635,7573,7444,29269,29188,7363,31236,30741,30818,86,31748,11,31755,31747,19473,1548,31664,31315,30862,522,30724,7723,32771,23,539,8196,33284,13337,549,2124,32288,541,54,547,541,32260,2068,2062,72,556,33821,2172,34820,1057,34844,8722,33829,34345,3,34308,2145,33796,2146,552,25135,35621,580,2264,95,36415,36356,587,36,35858,35882,35844,35332,8821,8814,8803,9296,62,9242,36908,3642,37902,37892,103,35,37380,25120,119,36868,9222,589,36499,38448,3128,38446,38404,56,39428,96,9801,9772,38916,9740,9732,38033,9578,610,37987,28679,39963,39962,39940,161,10241,161,640,40452,40411,10,40301,39528,39542,31,39477
46,43,10763,10757,11611,11780,2666,11434,11269,2661,11336,180,42,42,2592,2567,3107,12315,3093,12293,53,13317,50,57,12822,12805,12934,3180,3077,11895,11868,11828,13880,13855,13859,13829,936,14866,14853,3672,3622,14341,3645,3589,13431,13657,13420,13380,15423,3615,68,15375,4105,16488,16389,1037,21,15873,1034,67,15365,15031,15074,3773,77,75,17106,16927,1072,18000,17925,4484,1077,1123,79,17413,16901,1076,1069,1062,4704,84,4690,4703,19461,19560,19477,1246,18976,18971,18952,18949,18437,4631,4613,1168,5148,5127,19956,20060,20997,21134,20008,5272,5189,20505,5183,20485,19973,19868,19849,19650,22021,21387,21534,103,22533,21184,29,5675,5637,22076,5652,22039,21546,21509,21353,5399,23557,5805,5908,23196,24088,6149,1563,24069,1544,23717,1552,23588,23097,23045,22919,5764,25091,1597,24650,1617,25626,6169,1569,25605,1601,34,23583,25171,6196,24583,6185,6175,26628,6692,6700,6675,27157,27167,6669,27141,26176,122,6784,122,6661,26134,26117,1683,28200,28165,28105,27937,27686,29016,27901,28687,7222,7201,28676,7175,27816,27716,27653,1792,7540,29701,17988,29520,7685,6168,7690,30213,17491,29944,30125,7574,7445,29270,29189,7364,5,30750,30819,142,30726,23572,524,31748,528,1547,89,31316,7735,30838,30725,7724,32772,8217,8220,8197,33285,551,2087,2125,546,547,33084,548,542,32261,2069,2063,27086,561,33822,2173,34821,8744,34845,8723,38,559,8709,34309,554,33797,2147,553,25134,28,35531,35418,36247,36416,36357,95,35877,11287,35885,35845,35333,8824,8817,8804,9299,9289,9302,36909,3643,37903,37893,155,594,37381,25121,9354,36869,9223,591,36500,55,3129,38449,38405,12863,39429,9825,9802,9773,38917,9743,9733,38034,9579,38028,37988,28680,31,40013,39941,40644,40961,15538,641,40453,40412,40518,40302,626,39543,39593,39478
2683,2604,10764,43,2610,11781,2669,11435,11270,2662,11337,698,44,43,2593,2568,12328,3100,12313,12294,57,13318,53,13053,12823,12803,3267,3181,14,11904,11869,11829,13881,13864,13860,13830,3690,14867,14854,3673,3623,3590,3646,3590,13432,3432,13421,13381,64,3616,70,15376,4106,1039,16390,1038,67,15876,1035,15755,15366,15040,68,3778,78,77,1078,16928,17818,81,17926,4485,1080,17425,80,17414,16902,1077,1070,1063,4707,86,84,18530,19462,19561,18456,1247,18979,18972,19193,18950,18438,4632,4614,1169,5149,5128,5101,20061,20998,21135,20009,5273,20549,27,20544,20486,19974,19869,29,19651,6,21388,30,21642,22534,21185,21035,5676,5638,22077,5653,22040,21547,21510,100,21278,23558,5814,23310,23197,24090,6150,32,24070,1545,32,1553,23589,23098,23046,5774,5765,25093,25046,24651,1618,36,25853,34,25606,1604,1609,23584,25172,1590,24584,6190,6176,26629,39,6701,6676,27166,27168,6923,27142,26180,6782,128,26726,6662,26135,26118,1684,28201,28166,28106,27914,27687,29021,28763,28688,7223,7202,28678,7176,27817,27717,27654,1793,29744,1542,29627,29521,514,30233,7691,30214,17507,29945,7636,80,7446,29271,29190,7365,31237,30753,30826,7830,519,533,531,31749,31551,529,111,31317,7736,30839,30726,7725,32774,538,8221,8198,33286,13368,57,2126,32292,2085,2109,32877,2081,32262,2070,2064,27087,15922,33827,2174,34822,8747,34846,8724,34506,565,8710,34310,33833,33798,2151,554,5169,8965,35532,35419,36248,36417,36358,9078,35878,11288,47,35846,35334,8829,8822,8805,599,9292,35,36910,63,22033,37894,2377,37458,36870,5664,9355,36870,9224,592,36501,38686,38462,38467,38406,12864,39430,9826,9803,9762,9734,9780,9734,38039,9580,38029,37989,40204,39981,41,39942,40645,6,15539,40602,40454,40413,71,40303,631,39552,9913,9882
2684,45,13,45,2615,11782,668,11436,11271,2667,11338,699,10289,2618,2594,2569,12329,3105,3098,12295,13044,13319,12230,13054,12824,3076,56,3182,51,11907,11878,11830,61,13867,13865,13831,937,14868,14855,3674,3624,3591,63,3591,13472,13658,13430,13382,15424,14371,15443,15377,4107,16489,16391,1039,71,15367,10,71,15367,15043,69,67,16975,1102,1079,16929,17819,82,17927,4486,74,17426,1117,17415,16903,1078,1071,1064,18553,4697,4693,18531,19463,19562,18457,1248,19139,18977,18992,18951,18439,25,4615,1170,5150,5129,5102,20062,20999,21136,20057,5274,20550,20562,20545,20487,19975,19930,4992,19652,22022,21898,21539,21643,22535,98,21036,5677,5639,22086,5654,22041,21548,21511,101,21288,23559,5817,33,23198,1565,6151,1570,24071,1546,23718,1554,23590,23099,23047,5777,5766,25094,25047,1616,1619,25654,25854,25645,25607,6428,1610,1641,25173,6199,24585,6191,6177,26630,6697,6702,6677,27169,27208,6924,27143,26181,128,6783,26727,6663,26136,26119,1685,28202,28167,28107,27915,28807,28776,28781,28689,7224,7203,28679,7177,27818,27718,27655,1794,29745,29703,17989,81,24223,30234,7692,30215,17508,138,30126,29837,7455,29272,29191,7366,31238,31152,30827,7831,30727,23573,31773,31750,26,33,31361,31318,7748,26,30727,7726,32775,8218,2078,8199,33287,13369,33354,2127,32293,2086,2114,32803,2082,32263,2071,2065,34217,15923,33828,127,34823,569,34847,8725,558,34363,8711,34311,33834,33799,2152,8455,25142,35628,35533,35420,36249,36418,36359,9079,35883,11292,584,35847,35335,8830,8823,8806,36953,592,9282,36911,591,37904,37895,2379,37460,36871,5668,9356,36871,9225,154,36502,38687,38463,38468,38407,12868,39431,5216,9804,9763,9735,9781,9735,38040,9584,38038,37990,39976,39982,40014,39943,9929,22025,15546,40603,40455,40414,40519,10080,632,39555,39627,39479
2696,2605,10766,46,2616,11784,671,11437,11272,2668,11339,700,10290,2619,2595,2570,12579,3106,12314,12296,3302,13320,12233,3285,12825,12808,12935,3183,53,11925,11881,11831,62,14053,13866,13832,3691,14869,14856,3675,3625,14337,64,3592,13473,13659,13433,13383,70,14372,15444,15378,14860,1044,16392,1040,15946,15368,71,72,15368,3789,15075,68,16976,1103,17107,16930,17820,18001,17928,4487,79,22,1122,17416,16904,1079,1072,1065,18554,4700,87,18532,19464,19563,24,1249,4648,18978,18993,18952,18440,4634,4616,1171,5151,5130,91,20063,21000,21137,21042,5275,5192,20580,5184,20488,19976,19874,4993,19653,22023,100,21540,21644,22536,105,21040,5678,5640,22089,5655,22042,21549,21512,21355,99,23560,23262,23311,23199,1566,8,1571,24072,1547,23719,1555,23591,23100,23048,5782,5767,25096,6212,1617,1620,25655,25855,25646,25608,24664,25356,109,25174,1605,24586,1586,6178,26631,6698,6703,6678,39,27209,37,27144,6834,6785,6796,26728,6664,26137,26120,1686,28203,28168,27778,27916,28808,28777,28782,28690,7225,7204,28677,7178,27819,27719,27656,1795,29746,29704,17996,7493,30228,7707,7693,30216,1126,29950,11798,7575,138,29273,29192,7367,31239,66,7795,7832,31753,31768,31774,31751,31552,7944,31362,31319,7751,30841,517,7727,32776,2073,2079,8200,33288,57,33355,2128,39,54,2121,32805,2083,32264,535,2066,127,15939,38,2176,34824,4155,8737,8726,34507,34364,8712,34312,33836,33800,2153,8456,25143,574,1629,35421,36250,36419,36360,9080,35884,11293,121,35848,35336,150,8832,8807,36954,9297,9285,36912,14423,37905,37896,2380,37459,5638,5669,9357,36872,9226,155,36503,38488,38472,38473,38408,12869,39432,5220,9805,9764,38913,9782,9736,156,606,38041,37991,39977,22578,39990,39944,9930,22026,15547,40604,40456,71,40520,40304,39568,39573,9914,39480
2699,2614,10767,2670,2914,11785,11634,11438,11273,669,11340,701,2656,2620,2596,2571,12338,12333,3099,12297,195,13321,13213,13055,12826,12809,12910,3184,11873,11926,11899,11832,13890,14054,59,13833,3700,14870,14857,3676,3626,14343,3649,3593,3446,3381,13451,13384,3656,3620,15449,15379,14861,16490,16393,1041,15947,15880,72,3987,15369,3792,15076,69,1107,1104,1092,16931,17821,18002,17929,4488,1120,16919,1133,17417,16905,1080,1073,1066,18559,4705,4698,4693,19465,19564,19478,1250,1229,18470,19002,18953,18441,4635,4617,1172,5152,5131,94,20064,21001,21138,21043,5276,20555,20563,20554,20489,19977,19875,4994,19654,22025,102,5509,21645,22537,5740,21041,5679,5641,22107,5656,22043,21550,21513,21356,100,23561,23263,23312,23200,1567,6153,1572,24073,1548,23628,23924,23592,23101,23049,5783,5768,25097,6213,1621,116,25656,25640,25756,25609,24665,25357,1646,25175,1606,24587,1587,6179,26632,6722,6704,6679,27187,27218,27182,27145,26216,6790,6799,26729,6665,26138,26121,1687,28204,28169,27779,27917,28724,29025,28787,28691,7226,7205,28680,7179,27820,27720,27657,1796,112,29705,17997,112,30229,7708,7694,30217,1127,29951,11799,29826,7456,29274,29193,7368,31240,31156,7796,7833,31754,31769,33,31752,31553,7945,31367,31320,30877,30754,519,7728,32777,543,544,8201,33289,13376,33356,2129,2112,2110,2122,32806,2084,32265,537,534,2175,15940,557,2177,34825,4156,34848,8727,564,34369,8713,34313,33838,33801,2154,8457,581,579,1630,94,5234,36420,36361,9082,576,35886,11398,35849,35337,151,8833,8808,37207,9298,9290,36913,14424,37906,37897,2381,37461,5639,25156,9358,36873,9227,36540,36504,38489,38475,38474,38409,9810,39433,5221,9806,9765,38919,9783,2444,158,9585,157,37992,40205,39987,39991,39945,40654,22031,39828,40605,40457,40415,40521,10081,39569,39574,39628,39481
